LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID90401,90401,0,1.4133161306381226,1434.5464445659409,1010.4393082331093,0.0,0.0,0,7.5,1,,217.55203619909503,217.0,185.0,274.0,48079.0,13.374101768259967,0.03418091013841221,1.0752652983316844
ID90400,90400,1,1.5994453430175781,1010.2243978736731,992.8131611253566,0.0,0.0,0,7.5,1,,221.85067873303169,216.0,195.0,313.0,49029.0,19.119013905508968,0.02861589473127094,0.6456235550140978
ID90385,90385,2,0.7392095923423767,1286.8045568579191,20.903304651261475,0.0,0.0,0,7.5,1,,202.25339366515837,203.0,179.0,232.0,44698.0,9.180961019897032,0.019510651351204947,0.8431749014230572
ID90387,90387,3,0.6174007654190063,293.6335902131303,187.64939173313846,0.0,0.0,0,7.5,1,,188.7058823529412,188.0,169.0,221.0,41704.0,8.680668793081965,0.0110659446771641,0.4758512997360661
ID90386,90386,4,0.6563089489936829,1275.2154575783834,22.043471816315282,0.0,0.0,0,7.5,1,,203.6153846153846,205.0,176.0,232.0,44999.0,8.8729178587808,0.018388492982993047,0.8287180125160345
ID90389,90389,,0.4993571639060974,1066.8202016721496,228.21378998337394,0.0,0.0,0,7.5,1,,208.64253393665157,209.0,187.0,233.0,46110.0,8.584012671820757,0.007464715470570014,0.3601852366902969
ID90388,90388,5,0.5504168272018433,972.9048747131484,197.0707185729695,0.0,0.0,0,7.5,1,,209.16289592760182,210.0,183.0,229.0,46225.0,8.899983592070255,0.010665680796805466,0.49602835035375137
ID90391,90391,6,1.0071828365325928,508.6405772853074,244.47991980352623,0.0,0.0,0,7.5,1,,209.10859728506787,209.0,187.0,235.0,46213.0,9.13320457182034,0.026352184877173244,1.1757064927210241
ID90390,90390,7,0.7843111753463745,162.56035241128376,233.09555789037128,0.0,0.0,0,7.5,1,,181.3710407239819,180.0,163.0,226.0,40083.0,10.28007221866954,0.015481373554100175,0.5379467688008644
ID90393,90393,8,1.379714846611023,642.9008234275685,256.13163603173945,0.0,0.0,0,7.5,1,,213.49321266968326,209.0,186.0,348.0,47182.0,22.004879605442532,0.020529222982563804,0.3903391733946441
ID90392,90392,9,1.7749137878417969,1320.9418458848072,247.53663177324134,0.0,0.0,0,7.5,1,,215.71493212669682,211.0,185.0,282.0,47673.0,18.09533349236531,0.036372637468292834,0.8367630007846312
ID90395,90395,10,1.3211077451705933,871.1223337552829,430.98460126075,0.0,0.0,0,7.5,1,,223.60180995475113,221.0,198.0,272.0,49416.0,12.522517768189742,0.027892214994207666,0.9690564599392177
ID90394,90394,11,0.7706602811813354,1507.1251795575838,340.97265952620165,0.0,0.0,0,7.5,1,,204.93212669683257,204.0,186.0,232.0,45290.0,8.920350049300573,0.015516649624690022,0.702051628315099
ID90397,90397,12,2.1056926250457764,1057.3465892989616,507.27302771452827,0.0,0.0,0,7.5,1,,234.6787330316742,230.0,198.0,308.0,51864.0,20.50101882670589,0.04293865328862714,0.9425793952057975
ID90396,90396,13,0.868088960647583,574.8642083086148,480.78026069263564,0.0,0.0,0,7.5,1,,215.4660633484163,214.0,186.0,244.0,47618.0,10.215183768896793,0.016606775657628567,0.6891202430715672
ID90399,90399,14,0.6226127743721008,1397.860195395926,761.0815041510969,0.0,0.0,0,7.5,1,,212.21266968325793,211.0,190.0,243.0,46899.0,8.81398798524432,0.010718913400123424,0.5106804353778236
ID90398,90398,15,0.7674933075904846,634.1853588285531,529.084857833288,0.0,0.0,0,7.5,1,,214.50678733031674,213.0,194.0,266.0,47406.0,11.877641298408406,0.01115788034691858,0.3985690372905789
ID90475,90475,4,0.7433007955551147,1276.926260301896,11.912312000881517,0.0,1.0,1,7.5,1,,204.2714932126697,204.0,179.0,235.0,45144.0,8.426611096897899,0.022938844938970096,1.087193089509306
ID90477,90477,3,0.5988377332687378,293.13509804371785,187.60718708345823,0.0,1.0,1,7.5,1,,189.0950226244344,189.0,172.0,216.0,41790.0,7.872565864757207,0.012635920334417223,0.599442237718998
ID90476,90476,2,0.8566827178001404,1286.418287025954,14.83730209941077,0.0,1.0,1,7.5,1,,203.20814479638008,204.0,170.0,224.0,44909.0,9.383356963593114,0.02253408885094053,0.9544981161200781
ID90479,90479,7,0.7531862258911133,155.46976019801124,229.29029193148057,0.0,1.0,1,7.5,1,,179.80995475113122,177.0,159.0,223.0,39738.0,10.719569635939749,0.01548781656459353,0.5116604595363082
ID90478,90478,5,0.486341267824173,973.3797389676812,195.69141818562022,0.0,1.0,1,7.5,1,,208.61990950226243,208.0,188.0,232.0,46105.0,8.037432990867298,0.007946581245949,0.4092712095491943
ID90481,90481,6,1.022799015045166,507.4256445174705,243.66831798509452,0.0,1.0,1,7.5,1,,208.74660633484163,209.0,186.0,234.0,46133.0,9.449340995480519,0.02702122901409905,1.1624481091176129
ID90480,90480,9,1.6364818811416626,1322.4123105710923,239.22249818083418,0.0,1.0,1,7.5,1,,213.85972850678732,209.0,185.0,274.0,47263.0,17.512936982246533,0.03219395540947442,0.7617510273165642
ID90483,90483,11,0.8229696154594421,1501.508915371748,341.1622856988861,0.0,1.0,1,7.5,1,,205.30316742081448,205.0,186.0,236.0,45372.0,9.897816054520087,0.0162141800902513,0.6619055287529177
